Date,Description,Amount
2024-01-05,WHOLE FOODS MARKET #10234,-85.43
2024-01-06,UBER TRIP 4829,-24.50
2024-01-07,NETFLIX.COM,-15.99
2024-01-08,PAYROLL DEPOSIT - ACME CORP,3500.00
2024-01-10,SHELL GAS STATION,-45.20
2024-01-12,TRADER JOES #142,-62.18
2024-01-13,CHIPOTLE MEXICAN GRILL,-14.75
2024-01-14,SPOTIFY PREMIUM,-10.99
2024-01-15,AMC THEATERS,-28.00
2024-01-16,AMAZON.COM PURCHASE,-129.99
2024-01-17,CVS PHARMACY #8821,-32.45
2024-01-18,RENT PAYMENT - 1BR APT,-1850.00
2024-01-19,ELECTRIC BILL - CONEDISON,-94.30
2024-01-20,VENMO TRANSFER TO FRIEND,-50.00
2024-01-22,TARGET STORE #1092,-67.83
2024-01-23,STARBUCKS COFFEE,-6.25
2024-01-24,PLANET FITNESS MEMBERSHIP,-24.99
2024-01-25,ADOBE CREATIVE CLOUD,-54.99
2024-01-27,WATER UTILITY PAYMENT,-38.50
2024-01-30,FREELANCE PAYMENT - CLIENT,750.00
